city,state,guide_title,guide_slug,cover_image_url,manual_intro,position,app_variant,place_position,place_name,place_description,place_image_url,navigation_link,lat,lng
Wollongong,NSW,Top 10 Snow Spots in Wollongong,top-10-snow-spots-in-wollongong,https://pcgdqsdiidtiziypvqri.supabase.co/storage/v1/object/public/make-1d591b90-guide-assets/city-guides/top-10-snow-spots-in-wollongong/cover.jpg,"From Wollongong, the strongest snow choices sit in the Snowy Mountains and Canberra corridor. This guide balances reliable resorts with ACT high-country snow-play areas that depend heavily on current conditions.",0,all,0,Perisher Valley,"NSW's largest resort hub and a high-confidence anchor for resort skiing, lessons and family snow trips. Best time: the June to October snow season, with July and August usually the strongest snow window. Use current resort, road and Skitube information before travelling.",https://pcgdqsdiidtiziypvqri.supabase.co/storage/v1/object/public/make-1d591b90-guide-assets/city-guides/top-10-snow-spots-in-wollongong/place-01-perisher-valley.jpg,"https://maps.google.com/?q=-36.400000,148.416667",-36.4,148.416667
Wollongong,NSW,Top 10 Snow Spots in Wollongong,top-10-snow-spots-in-wollongong,https://pcgdqsdiidtiziypvqri.supabase.co/storage/v1/object/public/make-1d591b90-guide-assets/city-guides/top-10-snow-spots-in-wollongong/cover.jpg,"From Wollongong, the strongest snow choices sit in the Snowy Mountains and Canberra corridor. This guide balances reliable resorts with ACT high-country snow-play areas that depend heavily on current conditions.",0,all,1,Thredbo Village,"Village-led Snowy Mountains resort with long runs, lifts, sightseeing and a strong non-ski itinerary. Best time: the June to October snow season, with July and August usually the strongest snow window. Works best as a weekend or multi-night alpine trip.",https://pcgdqsdiidtiziypvqri.supabase.co/storage/v1/object/public/make-1d591b90-guide-assets/city-guides/top-10-snow-spots-in-wollongong/place-02-thredbo-village.jpg,"https://maps.google.com/?q=-36.504722,148.305556",-36.504722,148.305556
Wollongong,NSW,Top 10 Snow Spots in Wollongong,top-10-snow-spots-in-wollongong,https://pcgdqsdiidtiziypvqri.supabase.co/storage/v1/object/public/make-1d591b90-guide-assets/city-guides/top-10-snow-spots-in-wollongong/cover.jpg,"From Wollongong, the strongest snow choices sit in the Snowy Mountains and Canberra corridor. This guide balances reliable resorts with ACT high-country snow-play areas that depend heavily on current conditions.",0,all,2,Charlotte Pass,"Australia's highest resort village and a deep-winter Snowy Mountains classic. Best time: the June to October snow season, with July and August usually the strongest snow window. Winter access is by oversnow transport from Perisher.",https://pcgdqsdiidtiziypvqri.supabase.co/storage/v1/object/public/make-1d591b90-guide-assets/city-guides/top-10-snow-spots-in-wollongong/place-03-charlotte-pass.jpg,"https://maps.google.com/?q=-36.416667,148.333333",-36.416667,148.333333
Wollongong,NSW,Top 10 Snow Spots in Wollongong,top-10-snow-spots-in-wollongong,https://pcgdqsdiidtiziypvqri.supabase.co/storage/v1/object/public/make-1d591b90-guide-assets/city-guides/top-10-snow-spots-in-wollongong/cover.jpg,"From Wollongong, the strongest snow choices sit in the Snowy Mountains and Canberra corridor. This guide balances reliable resorts with ACT high-country snow-play areas that depend heavily on current conditions.",0,all,3,Selwyn Snow Resort,"Family and beginner-focused Snowy Mountains resort with tubing, tobogganing and gentler terrain. Best time: the June to October snow season, with July and August usually the strongest snow window. Check resort operations and Kosciuszko National Park entry conditions.",https://pcgdqsdiidtiziypvqri.supabase.co/storage/v1/object/public/make-1d591b90-guide-assets/city-guides/top-10-snow-spots-in-wollongong/place-04-selwyn-snow-resort.jpg,"https://maps.google.com/?q=-35.908333,148.450000",-35.908333,148.45
Wollongong,NSW,Top 10 Snow Spots in Wollongong,top-10-snow-spots-in-wollongong,https://pcgdqsdiidtiziypvqri.supabase.co/storage/v1/object/public/make-1d591b90-guide-assets/city-guides/top-10-snow-spots-in-wollongong/cover.jpg,"From Wollongong, the strongest snow choices sit in the Snowy Mountains and Canberra corridor. This guide balances reliable resorts with ACT high-country snow-play areas that depend heavily on current conditions.",0,all,4,Smiggin Holes,"Sheltered Perisher area that suits beginners, families and lesson-led snow days. Best time: the June to October snow season, with July and August usually the strongest snow window. Plan it through the wider Perisher transport and resort network.",https://pcgdqsdiidtiziypvqri.supabase.co/storage/v1/object/public/make-1d591b90-guide-assets/city-guides/top-10-snow-spots-in-wollongong/place-05-smiggin-holes.jpg,"https://maps.google.com/?q=-36.394444,148.429167",-36.394444,148.429167
Wollongong,NSW,Top 10 Snow Spots in Wollongong,top-10-snow-spots-in-wollongong,https://pcgdqsdiidtiziypvqri.supabase.co/storage/v1/object/public/make-1d591b90-guide-assets/city-guides/top-10-snow-spots-in-wollongong/cover.jpg,"From Wollongong, the strongest snow choices sit in the Snowy Mountains and Canberra corridor. This guide balances reliable resorts with ACT high-country snow-play areas that depend heavily on current conditions.",0,all,5,Blue Cow,"Scenic Perisher sector with Skitube access and terrain suited to stronger skiers and mixed groups. Best time: the June to October snow season, with July and August usually the strongest snow window. Confirm Skitube and lift operations before locking in the day.",https://pcgdqsdiidtiziypvqri.supabase.co/storage/v1/object/public/make-1d591b90-guide-assets/city-guides/top-10-snow-spots-in-wollongong/place-06-blue-cow.jpg,"https://maps.google.com/?q=-36.366667,148.400000",-36.366667,148.4
Wollongong,NSW,Top 10 Snow Spots in Wollongong,top-10-snow-spots-in-wollongong,https://pcgdqsdiidtiziypvqri.supabase.co/storage/v1/object/public/make-1d591b90-guide-assets/city-guides/top-10-snow-spots-in-wollongong/cover.jpg,"From Wollongong, the strongest snow choices sit in the Snowy Mountains and Canberra corridor. This guide balances reliable resorts with ACT high-country snow-play areas that depend heavily on current conditions.",0,all,6,Guthega,"Quieter western Perisher area with alpine scenery and lower-crowd appeal. Best time: the June to October snow season, with July and August usually the strongest snow window. Fold it into a broader Perisher trip and check road access.",https://pcgdqsdiidtiziypvqri.supabase.co/storage/v1/object/public/make-1d591b90-guide-assets/city-guides/top-10-snow-spots-in-wollongong/place-07-guthega.jpg,"https://maps.google.com/?q=-36.383333,148.366667",-36.383333,148.366667
Wollongong,NSW,Top 10 Snow Spots in Wollongong,top-10-snow-spots-in-wollongong,https://pcgdqsdiidtiziypvqri.supabase.co/storage/v1/object/public/make-1d591b90-guide-assets/city-guides/top-10-snow-spots-in-wollongong/cover.jpg,"From Wollongong, the strongest snow choices sit in the Snowy Mountains and Canberra corridor. This guide balances reliable resorts with ACT high-country snow-play areas that depend heavily on current conditions.",0,all,7,Corin Forest,"Canberra-region snow-play and beginner-ski site where machine-made snow improves first-snow reliability. Best time: June to September, with July and August best and road or operating updates checked first. Book/check sessions and operating conditions before travelling.",https://pcgdqsdiidtiziypvqri.supabase.co/storage/v1/object/public/make-1d591b90-guide-assets/city-guides/top-10-snow-spots-in-wollongong/place-08-corin-forest.jpg,"https://maps.google.com/?q=-35.515569,148.921632",-35.515569,148.921632
Wollongong,NSW,Top 10 Snow Spots in Wollongong,top-10-snow-spots-in-wollongong,https://pcgdqsdiidtiziypvqri.supabase.co/storage/v1/object/public/make-1d591b90-guide-assets/city-guides/top-10-snow-spots-in-wollongong/cover.jpg,"From Wollongong, the strongest snow choices sit in the Snowy Mountains and Canberra corridor. This guide balances reliable resorts with ACT high-country snow-play areas that depend heavily on current conditions.",0,all,8,Mount Ginini area,"ACT high-country snow-gum area for natural snow walks and winter scenery. Best time: after winter cold snaps or fresh snow reports; snow is occasional and not guaranteed. Road closures, chains and alpine weather can all affect access.",https://pcgdqsdiidtiziypvqri.supabase.co/storage/v1/object/public/make-1d591b90-guide-assets/city-guides/top-10-snow-spots-in-wollongong/place-09-mount-ginini-area.jpg,"https://maps.google.com/?q=-35.529000,148.772000",-35.529,148.772
Wollongong,NSW,Top 10 Snow Spots in Wollongong,top-10-snow-spots-in-wollongong,https://pcgdqsdiidtiziypvqri.supabase.co/storage/v1/object/public/make-1d591b90-guide-assets/city-guides/top-10-snow-spots-in-wollongong/cover.jpg,"From Wollongong, the strongest snow choices sit in the Snowy Mountains and Canberra corridor. This guide balances reliable resorts with ACT high-country snow-play areas that depend heavily on current conditions.",0,all,9,Brindabella / Mt Franklin snow area,Classic ACT range snow-play fallback when conditions line up around the Brindabellas and Mt Franklin Road. Best time: after winter cold snaps or fresh snow reports; snow is occasional and not guaranteed. Only worthwhile after snow reports and safe-road confirmation.,https://pcgdqsdiidtiziypvqri.supabase.co/storage/v1/object/public/make-1d591b90-guide-assets/city-guides/top-10-snow-spots-in-wollongong/place-10-brindabella-mt-franklin-snow-area.jpg,"https://maps.google.com/?q=-35.573000,148.696000",-35.573,148.696
